Compound_CID,SMILES
44129648,CC1=CC(=CC(=C1)[C@@H]2CCCN2CC3=CC=C(C=C3)OC4=C(C=C(C=C4)C(=O)N)F)C
644019,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O
6440940,C[C@@H]1CC[C@H](C2=C(CC[C@H]12)C)/C=C(\C)/C(=O)O
11430856,CC(=O)NC1=CC(=CC=C1)N2CCN(CC2)CCCCNS(=O)(=O)CC3CCCCC3
154731077,CC1(C2CCC1([C@H](C2)OC(=O)N[C@@](C)(CC3=CNC4=CC=CC=C43)C(=O)NC[C@H](C5=CC=CC=C5)NC(=O)CCC(=O)[O-])C)C.C[NH2+]C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
72303,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C
121926,CCOC(=O)C1=NC=C2C(=C1COC)C3=C(N2)C=CC(=C3)OCC4=CC=CC=C4
11198924,CCCC1=C(N=CN2C1=NC(=N2)C)CN3C=CN=C3C4=C(C=CC=N4)F
121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N
10240,CCCCSC1=CC=C(C=C1)C(C2=CC=CC=C2)SCCN(C)C
162340896,C[C@H]1/C=C/C=C2CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
6426925,C[C@H]1C([C@H](C[C@@H](O1)OC2[C@@H](O[C@H](C[C@@H]2OC)OC\3C(/C=C/C=C/4\COC5C4([C@@H](C=C([C@H]5O)C)C(=O)OC6CC(C/C=C3\C)O[C@]7(C6)C=CC(C(O7)C8CCCCC8)C)O)C)C)OC)O
9832750,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
11223423,CC1=CC(=C2CCN(C2=N1)C3=C(C=C(C=C3)OC)C)N4C=CC(=N4)N5CCNC5=O
146156566,CC1C=CC=C2COC3[C@@]2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)O[C@]7(C4)C=CC(C(O7)C8CCCCC8)C)O
139585898,C[C@H]1C=C[C@]2(C[C@@H]3C[C@H](O2)C/C=C(\[C@H](C(/C=C\C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H](C([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)/C)O[C@@H]1C8CCCCC8
137698359,C[C@H]1/C=C\C=C2CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(\[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)/C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
135869781,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N\OC(C5=CC=CC=C5)C6=CC=CC=C6)/C
129628999,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4CC(C/C=C(/[C@H]1O[C@@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@@H]6C[C@@H]([C@@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@@H](O7)C8CCCCC8)C)O
101656013,C[C@H]1/C=C\C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(\[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)/C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
71433782,C[C@H]1C=CC=C2CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](CC=C([C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
53398645,CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O
51371336,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1OC5C[C@@H](C([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
16212180,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4CC(C/C=C(/[C@H]1O[C@@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
14831472,CC1/C=C/C=C/2\COC3C2(C(C=C(C3O)C)C(=O)OC4CC(C/C=C(/C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)\C)OC7(C4)C=CC(C(O7)C8CCCCC8)C)O
11954226,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6CC([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O
9908684,CCN1C(=NC=N1)COC2=NN3C(=NN=C3C4=CC=CC=C4F)C=C2C(C)(C)C
9895468,CN(C)C(=O)[C@@H]1C[C@H](CN1[C@]2(C3=C(C=CC(=C3)Cl)N(C2=O)S(=O)(=O)C4=C(C=C(C=C4)OC)OC)C5=CC=CC=C5OC)O
9832383,CC1=C(C=CC(=C1)F)[C@H]2CNCCN2C(=O)N(C)[C@H](C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
6436133,C[C@H]1C=C[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/C([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H](C([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)O[C@@H]1C8CCCCC8
119380,CC1=NOC(=C1)[C@@H]2CCCN2C
44115,C1=CC(=CC=C1C(=NCCCC(=O)N)C2=C(C=CC(=C2)F)O)Cl
15387,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F
4064,CCCC(C)(COC(=O)N)COC(=O)N
135413553,CCN=C1NC2=C(C=C(C=C2)Cl)C(O1)(C)C3=CC=CC=C3
135413552,CCN=C1NC2=C(C=C(C=C2)Cl)C(O1)(C)C3=CC=CC=C3.Cl
22609888,CN1C(=NC=N1)COC2=NN3C(=NN=C3C4=C(C=CC=C4F)F)C=C2C5CCC5
21958071,COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C/C(=O)O)\C(=O)O
13373005,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C/C(=O)O)\C(=O)O
11154555,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl
9884366,CC[C@@H](C)NC1=NC(=NC2=C(C(=NN21)C)C3=C(N=C(C=C3)OC)C)C
9560989,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C\C(=O)O)\C(=O)O
5384136,COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C\C(=O)O)\C(=O)O
5324346,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F
71897,CC1=CC(=NN1)CCN2CCN(CC2)C3=CC(=CC=C3)Cl
60558,C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2C(=O)N(C3=O)CCCCN4CCN(CC4)C5=NC=CC=N5.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
43725,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O
37368,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F.Cl
37367,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)OC(=O)N(C)C)C3=CC=CC=C3
