cid,SMILES,value
51,C(CC(=O)O)C(=O)C(=O)O,0
79,C1=CC(=CN=C1)C#N,0
240,C1=CC=C(C=C1)C=O,0
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0
323,C1=CC=C2C(=C1)C=CC(=O)O2,0
525,C(C(C(=O)O)O)C(=O)O,0
541,C1=CC(=CC=C1C=O)[N+](=O)[O-],0
546,C(C(=O)O)P(=O)(O)O,0
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,0
594,C(C(C(=O)O)N)S,0
970,C(C(=O)C(=O)O)C(=O)O,0
1080,C(C(C(=O)O)N)SCC(=O)O,0
1123,C(CS(=O)(=O)O)N,0
1174,C1=CNC(=O)NC1=O,0
1201,CCCC1=CC(=O)OC2=C1C3=C(C=CC(O3)(C)C)C4=C2C(C(C(O4)C)C)O,1
1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,0
1359,C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2,0
1390,CN1C=CN=C1,0
1474,C1=CC=NC(=C1)C2=CC=CC=N2,0
1639,C1=NNC(=N1)N,0
1678,C(C[N+](=O)[O-])C(=O)O,0
1727,C1=CN=CC=C1N,0
1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,1
2015,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2,0
2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,0
2155,C1=CSC(=N1)N,0
2199,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,1
2374,CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O,1
2447,CC(C)C(C(=O)NC(=O)N)Br,0
2683,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,1
2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,0
3023,C1=CC=C2C(=C1)C3=CC=CC=C3S2,0
3031,C1=CC(=C(C(=C1)Cl)C#N)Cl,0
3036,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,0
3039,COP(=O)(OC)OC=C(Cl)Cl,0
3053,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0
3055,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,0
3305,CC(O)(P(=O)(O)O)P(=O)(O)O,0
3366,C1=NC(=O)NC(=C1F)N,0
3385,C1=C(C(=O)NC(=O)N1)F,0
