compound,cell_line,fragment,original_score,modified_score,contribution
Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,A375,[13*]C1SC(=O)NC1=O,0.021266542375087738,0.028498824685811996,-0.007232282310724258
Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,A375,[4*]C[8*],0.021266542375087738,0.029830552637577057,-0.008564010262489319
Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,A375,[3*]O[3*],0.021266542375087738,0.031631503254175186,-0.010364960879087448
Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,A375,[16*]c1ccc([16*])cc1,0.021266542375087738,0.028904754668474197,-0.007638212293386459
Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,A375,[8*]C[8*],0.021266542375087738,0.02909538522362709,-0.007828842848539352
Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,A375,[14*]c1nc2ccccc2c(=O)n1C,0.021266542375087738,0.03255174681544304,-0.011285204440355301
Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1,A375,[16*]c1ccccc1F,0.014686688780784607,0.033324845135211945,-0.018638156354427338
Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1,A375,[9*]n1ccnc1,0.014686688780784607,0.028441179543733597,-0.01375449076294899
Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1,A375,[8*]C([8*])([8*])[8*],0.014686688780784607,0.016964871436357498,-0.0022781826555728912
Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1,A375,[16*]c1ccccc1,0.014686688780784607,0.03248385712504387,-0.017797168344259262
Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1,A375,[16*]c1ccc(F)cc1,0.014686688780784607,0.032760947942733765,-0.018074259161949158
OC1O[C@@H]2COC(O[C@H]2[C@H](O)[C@H]1O)c1ccccc1,A375,[16*]c1ccccc1,0.019004667177796364,0.0256018228828907,-0.0065971557050943375
OC1O[C@@H]2COC(O[C@H]2[C@H](O)[C@H]1O)c1ccccc1,A375,[13*]C1OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O1,0.019004667177796364,0.025806346908211708,-0.006801679730415344
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,A375,[16*]c1ccccc1,0.010655008256435394,0.022502213716506958,-0.011847205460071564
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,A375,[15*]C1CC2C=CC1C2,0.010655008256435394,0.02842491865158081,-0.017769910395145416
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,A375,[4*]CCC([8*])([8*])O,0.010655008256435394,0.01787363365292549,-0.007218625396490097
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,A375,[5*]N1CCCCC1,0.010655008256435394,0.020519878715276718,-0.009864870458841324
C[C@]12CCC3C([C@H]4C[C@H]4C4=CC(=O)CC[C@]34C)C1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1,A375,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1C1C2CC[C@@]2(C)C1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1,0.014018302783370018,0.035396914929151535,-0.021378612145781517
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,A375,[4*]CCCC,0.020518220961093903,0.029245469719171524,-0.008727248758077621
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,A375,[5*]N1CCCCC1[13*],0.020518220961093903,0.026002008467912674,-0.005483787506818771
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,A375,[16*]c1c(C)cccc1C,0.020518220961093903,0.028755608946084976,-0.008237387984991074
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,A375,[1*]C([6*])=O,0.020518220961093903,0.033856235444545746,-0.013338014483451843
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,A375,[5*]N[5*],0.020518220961093903,0.030767396092414856,-0.010249175131320953
CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C,A375,[7*]C([8*])O,0.02188265696167946,0.030101217329502106,-0.008218560367822647
CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C,A375,[7*]C[8*],0.02188265696167946,0.02900053933262825,-0.0071178823709487915
CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C,A375,[7*]CC[8*],0.02188265696167946,0.02923155575990677,-0.00734889879822731
CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C,A375,[7*]CC[C@@H](C[8*])C(=C)C,0.02188265696167946,0.030227351933717728,-0.008344694972038269
CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C,A375,[7*]C1C(=O)[C@@]2([15*])C[C@@H]([15*])C(C)(C)[C@@]([15*])(C1=O)C2=O,0.02188265696167946,0.03397849574685097,-0.012095838785171509
CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C,A375,[16*]c1ccc(O)c(O)c1,0.02188265696167946,0.029095664620399475,-0.0072130076587200165
CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C,A375,[7*]C(C)C,0.02188265696167946,0.029645361006259918,-0.00776270404458046
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,A375,[16*]c1cccc2ccccc12,0.015758242458105087,0.03310537338256836,-0.017347130924463272
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,A375,[4*]CC(O)C[4*],0.015758242458105087,0.026277896016836166,-0.010519653558731079
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,A375,[5*]N1CCN([5*])CC1,0.015758242458105087,0.023872993886470795,-0.008114751428365707
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,A375,[16*]c1ccccc1[16*],0.015758242458105087,0.021731514483690262,-0.0059732720255851746
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,A375,[3*]O[3*],0.015758242458105087,0.025623634457588196,-0.009865391999483109
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,A375,[3*]OC,0.015758242458105087,0.02424679324030876,-0.008488550782203674
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,A375,[16*]c1cccc([N+](=O)[O-])c1,0.0239134319126606,0.02211880125105381,0.0017946306616067886
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,A375,[3*]O[3*],0.0239134319126606,0.02326817810535431,0.0006452538073062897
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,A375,[1*]C(=O)C1=C(C)NC(C)=C(C([1*])=O)C1[15*],0.0239134319126606,0.015542672947049141,0.008370758965611458
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,A375,[4*]CC,0.0239134319126606,0.02150842919945717,0.00240500271320343
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,A375,[3*]OC,0.0239134319126606,0.022184891626238823,0.0017285402864217758
C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@]2(O)C#C,A375,C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C,0.011676641181111336,0.035396914929151535,-0.0237202737480402
