cid,cmpdname,smiles,cell_line,predicted_score
159055,Camphor (synthetic),C[C@@]12CC[C@@H](C1(C)C)CC2=O,HUVEC,-0.03880959004163742
101990557,"(1S,5R)-1,3,3-trimethyl-6-oxido-6-azoniabicyclo[3.2.1]oct-6-ene",C[C@@]12C[C@@H](CC(C1)(C)C)[N+](=C2)[O-],HUVEC,-0.03841567784547806
644019,Cannabidiol,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,HUVEC,-0.03482697904109955
101932822,"(1S,2R,5R,6R)-2-aminobicyclo[3.1.0]hexane-2,6-dicarboxylic acid",C1C[C@@]([C@H]2[C@@H]1[C@H]2C(=O)O)(C(=O)O)N,HUVEC,-0.02914176881313324
92786,Brexanolone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,HUVEC,-0.02693561464548111
213056,Eglumetad,C1C[C@]([C@H]2[C@@H]1[C@@H]2C(=O)O)(C(=O)O)N,HUVEC,-0.02690763771533966
91475,"2-hydroxy-1-[(5R,8R,9S,10S,13S,14S,17S)-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone",C[C@]12CCC(C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,HUVEC,-0.02283230796456337
33741,Tramadol,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,HUVEC,-0.02256728708744049
5486971,Pregabalin,CC(C)C[C@@H](CC(=O)O)CN,HUVEC,-0.02227190136909485
9974162,"3alpha,21-Dihydroxy-5beta-pregnan-20-one",C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,HUVEC,-0.02110084891319275
4715169,3-(Aminomethyl)-5-methylhexanoic acid,CC(C)CC(CC(=O)O)CN,HUVEC,-0.02101537585258484
101771,Tetrahydrodeoxycorticosterone,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,HUVEC,-0.020710505545139313
156665,Eglumetad monohydrate,C1C[C@]([C@H]2[C@@H]1[C@@H]2C(=O)O)(C(=O)O)N.O,HUVEC,-0.02056530863046646
119590,Deramciclane,C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(C3=CC=CC=C3)OCCN(C)C,HUVEC,-0.02044035494327545
94532,Etafedrine,CCN(C)[C@@H](C)[C@@H](C1=CC=CC=C1)O,HUVEC,-0.019894741475582123
68888,Pivagabine,CC(C)(C)C(=O)NCCCC(=O)O,HUVEC,-0.01821161061525345
6440940,Valerenic acid,C[C@@H]1CC[C@H](C2=C(CC[C@H]12)C)/C=C(\C)/C(=O)O,HUVEC,-0.017692729830741882
10236037,Imagabalin,CCC[C@@H](C)C[C@@H](CC(=O)O)N,HUVEC,-0.017310403287410736
2481,Butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,HUVEC,-0.01697079837322235
444008,Tibolone,C[C@@H]1CC2=C(CCC(=O)C2)[C@@H]3[C@@H]1[C@@H]4CC[C@]([C@]4(CC3)C)(C#C)O,HUVEC,-0.01669243723154068
2130,Amantadine,C1C2CC3CC1CC(C2)(C3)N,HUVEC,-0.013918273150920868
4095,Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,HUVEC,-0.012786172330379486
5284592,Nabilone,CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=O)CC[C@H]3C(OC2=C1)(C)C)O,HUVEC,-0.011823028326034546
