"","Row.names","Gene.Symbol","ID","id","V12CBD","V15CBD","V59CBD","V75CBD","V77CBD","V96CBD","V99CBD","V100CBD","V12DMSO","V15DMSO","V59DMSO","V75DMSO","V77DMSO","V96DMSO","V99DMSO","V100DMSO"
"316","GAPDH","GAPDH","213453_x_at",1,-0.44169396,-0.48445445,-0.43388566,-0.43005314,-0.46337792,-0.3634953,-0.46321598,-0.3855563,-0.41853213,-0.4887714,-0.432547,-0.44871116,-0.4276222,-0.42133582,-0.42513573,-0.41727754
"4","ABCF1","ABCF1","200045_at",4,0.71460557,0.6349267,0.6762445,0.6178518,0.6711037,0.6181538,0.73347,0.4592409,0.6861798,0.6499016,0.67995834,0.65157336,0.66491276,0.64251196,0.6476001,0.6502913
"780","SPAG7","SPAG7","200053_at",5,-0.2524549,-0.45608437,-0.35445002,-0.6211619,-0.22064921,-0.24022143,-0.4012841,0.540668,-0.16860215,-0.5167196,-0.22122088,-0.43032518,-0.15033786,-0.16602252,-0.15368676,-0.08181225
"768","SMNDC1","SMNDC1","200071_at",6,-0.6980061,-0.7470039,-0.73227644,-0.7236353,-0.81289446,-0.68339926,-0.6857546,-0.553625,-0.68328,-0.7416569,-0.6926598,-0.70248604,-0.6748489,-0.6645352,-0.67402226,-0.66192764
"57","ATP6V0B","ATP6V0B","200078_s_at",7,-0.12148921,-0.118029885,-0.06776712,-0.1858758,-0.18112715,-0.17187144,-0.11665958,-0.19035009,-0.11106902,-0.17184551,-0.07189655,-0.13477685,-0.12138726,-0.11563962,-0.10912889,-0.14222819
"900","USP22","USP22","200083_at",8,1.7917595,2.1832438,2.447251,2.230853,2.063128,2.2966533,1.503171,2.566788,1.7359991,2.4187338,1.9088061,2.012751,1.8399423,1.8197688,1.7616372,1.7491558
"192","CSRP1","CSRP1","200621_at",10,0.56387395,0.2922933,0.51343447,0.119042315,0.70471185,0.3152046,0.36591747,0.8832028,0.5681764,0.24237968,0.5643666,0.29189393,0.48242113,0.52255285,0.5270554,0.66226923
"916","XBP1","XBP1","200670_at",13,0.2169765,0.0055462895,-0.055070188,-0.1902441,0.13550934,-0.027882753,-0.10623284,0.3295471,0.15726498,0.0041060625,0.018474953,0.012410062,0.009606111,0.15231806,0.15155289,0.23598498
"340","GRN","GRN","200678_x_at",14,0.49631572,0.48242712,0.5196042,0.37829563,0.33013317,0.38840944,0.5830546,0.39603797,0.47385278,0.52516294,0.534427,0.4482585,0.4876487,0.48172456,0.4855708,0.42054367
"357","HK1","HK1","200697_at",15,1.3022254,1.3012362,1.0919627,0.8966529,1.2441167,1.0849875,1.3918209,1.4034226,1.4519949,1.2308853,1.3346279,1.3050883,1.3312341,1.4979024,1.492487,1.2822019
"94","CAPN1","CAPN1","200752_s_at",17,0.7260678,0.7132962,0.92053753,0.7338861,1.0870098,1.0017129,0.5570263,0.85004824,0.9306633,0.61018807,0.95608085,0.81270933,1.0241927,1.0090903,0.96394664,0.94710165
"195","CTSD","CTSD","200766_at",19,-0.7013158,-0.85143983,-0.84861475,-0.9267504,-0.74253607,-0.78966165,-0.8174091,-0.68353534,-0.7250571,-0.8810152,-0.7852489,-0.8113139,-0.7451434,-0.72893584,-0.75233364,-0.7106237
"800","STMN1","STMN1","200783_s_at",20,-0.33207035,-0.53550214,-0.36991233,-0.51561636,-0.4249122,-0.3356161,-0.39781636,-0.51231027,-0.29776132,-0.6910581,-0.29896268,-0.43489248,-0.29869586,-0.28863034,-0.29026318,-0.30658937
"249","ECH1","ECH1","200789_at",21,-0.80436283,-0.84252036,-0.7648927,-0.8288176,-0.8532036,-0.8413481,-0.8749216,-0.82638943,-0.81206083,-0.8813879,-0.7802008,-0.8260296,-0.8194068,-0.82575816,-0.8327144,-0.8019793
"405","IQGAP1","IQGAP1","200791_s_at",22,0.5218994,0.4713958,0.3672104,0.4749401,0.4110348,0.39822266,0.7444458,0.6685738,0.4886593,0.5378409,0.42760053,0.53181,0.4862931,0.47947165,0.49563384,0.46979848
"565","PAFAH1B1","PAFAH1B1","200816_s_at",23,0.05035273,0.08975655,0.03697189,0.07591179,0.027104966,0.060121387,-0.027171854,-0.1809121,-0.029262874,0.057867534,-0.017307093,0.024917655,-0.03554976,-0.05809743,-0.09236686,-0.04987199
"378","HYOU1","HYOU1","200825_s_at",24,-0.6109452,-0.5443102,-0.7383199,-0.7090409,-0.66293114,-0.7442828,-0.5582014,-0.74460596,-0.6177047,-0.4702267,-0.67588246,-0.62076414,-0.6234229,-0.6313322,-0.6146048,-0.62164325
"297","FKBP4","FKBP4","200895_s_at",27,0.03066168,-0.013153321,0.12026135,-0.061703525,-0.08639668,0.028333038,-0.0417368,-0.03518783,0.01100445,-0.033700045,0.06253157,0.0034702609,0.003008607,0.010559955,-0.0072516403,-0.023650369
"1","AARS","AARS","201000_at",32,0.33501875,0.30132592,0.3041979,0.17334932,0.34503767,0.23825943,0.2797442,-0.03566587,0.34582177,0.29591092,0.3187349,0.28750733,0.32504883,0.33941308,0.34321624,0.39454064
"713","RPN1","RPN1","201011_at",33,-0.7230726,-0.80279464,-0.79445434,-0.80601573,-0.8227612,-0.7846214,-0.7409033,-0.72786057,-0.7307945,-0.8021234,-0.7378284,-0.7516098,-0.7314027,-0.7281908,-0.7345153,-0.7404017
"75","BLCAP","BLCAP","201032_at",35,-0.5043723,-0.30670553,-0.28774008,-0.36632377,-0.40231365,-0.3684556,-0.4904328,-0.27838686,-0.45812935,-0.2598524,-0.41576442,-0.41948062,-0.45576563,-0.468077,-0.45620352,-0.45686954
"330","GNAI2","GNAI2","201040_at",37,-0.4248357,-0.59452546,-0.6229332,-0.55109334,-0.50066876,-0.62446576,-0.37973127,-0.5596586,-0.48177564,-0.68330574,-0.52406627,-0.5023686,-0.49915555,-0.50917053,-0.5090535,-0.5043721
"849","TM9SF2","TM9SF2","201078_at",39,0.23973116,0.42474014,0.42510104,0.5903545,0.24671893,0.50087166,0.13540472,0.6966222,0.19566706,0.7077454,0.26667196,0.36061865,0.22735062,0.23430894,0.21415012,0.23189409
"672","PXN","PXN","201087_at",41,0.31245345,0.33356348,-0.08897118,0.21059489,0.3819558,0.17429332,0.8846148,-0.044460103,0.35820866,0.4980474,0.15448824,0.34946114,0.3563432,0.37479174,0.41463175,0.40200332
"176","COPB2","COPB2","201098_at",42,-0.37685856,-0.48141378,-0.42056605,-0.42137983,-0.3430623,-0.43796694,-0.36453047,-0.31246614,-0.31946185,-0.5450962,-0.33977166,-0.3710111,-0.31469643,-0.3437057,-0.3303642,-0.30741867
"590","PGRMC1","PGRMC1","201121_s_at",43,0.073867634,0.03978633,-0.0473816,-0.12187556,-0.2019062,-0.1508958,0.2684167,-0.34140447,0.040750995,-0.035788752,0.045631684,0.020360598,0.070382364,0.04722932,0.029919643,-0.0054090987
"611","PLP2","PLP2","201136_at",45,1.258275,1.0341266,1.5163335,1.2576314,1.6189809,1.5280998,1.1673325,1.4057685,1.3882229,1.0673007,1.3403268,1.2002175,1.3870842,1.4154743,1.4505512,1.5062388
"520","NFE2L2","NFE2L2","201146_at",46,-0.23954394,-0.2421284,-0.184224,-0.22105885,-0.23034245,-0.24427512,-0.23300792,-0.22920226,-0.26663923,-0.2744231,-0.24748242,-0.26142532,-0.28157926,-0.28414768,-0.2837232,-0.28016505
"827","TERF2IP","TERF2IP","201174_s_at",49,-0.107976586,-0.21285821,-0.15129246,-0.15989186,-0.028507741,-0.20976971,-0.24055949,-0.23389684,-0.17608052,-0.32682377,-0.18037286,-0.20280543,-0.18447241,-0.2217907,-0.19748592,-0.16343267
"288","FBXO7","FBXO7","201178_at",50,-0.73829985,-0.70764524,-0.6159007,-0.62746173,-0.67536646,-0.5907395,-0.78378326,-0.5163292,-0.7225262,-0.6477434,-0.68165916,-0.69023,-0.70589876,-0.70489854,-0.70166117,-0.70741385
"377","HTRA1","HTRA1","201185_at",51,0.41983303,0.41081053,0.12605612,0.35279912,0.22843394,0.24644917,0.61343294,0.17168003,0.36147726,0.46302995,0.2580686,0.41407642,0.3827294,0.3587459,0.35150737,0.2890583
"445","LRPAP1","LRPAP1","201186_at",52,-0.8149898,-0.78915584,-0.83022755,-0.7870621,-0.8292429,-0.7997938,-0.8069278,-0.7938078,-0.811379,-0.78746045,-0.8154681,-0.80318165,-0.8161428,-0.8042612,-0.8123756,-0.8105705
"182","CREG1","CREG1","201200_at",53,0.16028053,0.09423432,0.020352568,0.18209493,0.3112341,0.13106921,0.24897444,0.36350957,0.34488082,-0.04135931,0.23785467,0.24839991,0.37712178,0.3426302,0.35513544,0.36176038
"438","LGMN","LGMN","201212_at",54,-0.4365875,-0.32934022,-0.5162126,-0.39620754,-0.32737097,-0.41721883,-0.36824888,-0.5726824,-0.39173996,-0.26896566,-0.4281324,-0.37269017,-0.39536506,-0.37663865,-0.38502607,-0.3817002
"399","ILK","ILK","201234_at",55,-0.2826414,-0.28034192,-0.32988307,-0.28282157,-0.31599376,-0.26648113,-0.20008966,-0.23802789,-0.31667966,-0.24144867,-0.335996,-0.3008328,-0.30644786,-0.31700733,-0.30575413,-0.30791628
"812","SYPL1","SYPL1","201260_s_at",57,-0.77150196,-0.8112384,-0.83389914,-0.8170154,-0.802803,-0.8220132,-0.7779189,-0.790487,-0.780361,-0.81346565,-0.8066017,-0.7940601,-0.7871874,-0.78254527,-0.7900391,-0.78579324
"887","TXNRD1","TXNRD1","201266_at",58,2.8429074,2.140088,2.146194,2.5885603,2.2710342,2.5481658,2.8926709,3.7054358,2.2036998,2.1285396,1.9931692,2.3765192,2.0873406,2.1363993,2.0981338,2.0112545
"859","TOP2A","TOP2A","201292_at",60,0.39064765,0.23716795,0.24752064,0.11129792,0.14641032,0.09370032,0.36625803,0.24661581,0.3367069,0.06291145,0.3373153,0.29091725,0.2887658,0.28260568,0.29157868,0.26305643
"799","STK25","STK25","201314_at",61,2.271138,2.5074344,2.4790888,2.1142745,2.91912,2.5226893,2.6019416,2.5263472,2.6269033,2.6638665,2.451058,2.42955,2.539356,2.7324843,2.6339924,2.6685328
"246","EBNA1BP2","EBNA1BP2","201323_at",62,0.06336658,0.53114784,0.48535115,0.8739597,0.58825177,0.7618086,-0.21904947,0.7935945,-0.24375336,1.0448334,-0.06542002,0.14712544,-0.23139404,-0.26308978,-0.23512958,-0.183074
"733","SCP2","SCP2","201339_s_at",63,-0.38770404,-0.43279123,-0.44158557,-0.41871107,-0.44342998,-0.39735824,-0.40339142,-0.34641817,-0.40649652,-0.43269673,-0.40715247,-0.4345682,-0.39864695,-0.40140706,-0.40889558,-0.42917147
"853","TMEM109","TMEM109","201361_at",65,0.4497127,0.97477037,0.86734116,1.0244619,0.46191394,0.74888504,0.31856665,0.30508462,0.3647729,1.3536488,0.4647527,0.7171056,0.3086945,0.32329586,0.33127996,0.2976605
"865","TPD52L2","TPD52L2","201379_s_at",66,1.9732107,4.1777453,2.8159025,3.547104,1.7484992,2.0286229,1.9400134,2.1856909,1.8726391,5.5719447,2.2540703,2.9981837,1.6911187,1.771623,1.7244415,1.7653743
"186","CRTAP","CRTAP","201380_at",67,-0.5213727,-0.38054204,-0.3200154,-0.37440902,-0.37451258,-0.32725668,-0.58077335,-0.26834008,-0.57366276,-0.2669192,-0.5094655,-0.53326803,-0.55910856,-0.56026363,-0.5614263,-0.5612575
