Gene,Sample1,Sample2,Sample3
14.8059,14.8059,14.8277,217398_x_at
9.1706,9.1706,7.8624,1007_s_at
7.9557,7.9557,8.4751,121_at
10.0987,10.0987,10.6225,200045_at
9.3033,9.3033,10.2948,200053_at
10.9609,10.9609,10.2436,200071_at
11.9825,11.9825,11.9902,200078_s_at
12.3871,12.3871,10.7984,200083_at
7.5098,7.5098,7.4879,200617_at
8.0431,8.0431,9.2956,200621_at
5.527,5.527,5.2127,200636_s_at
9.1653,9.1653,9.0292,200666_s_at
12.3389,12.3389,9.3153,200670_at
7.2346,7.2346,9.028,200678_x_at
8.8298,8.8298,9.1614,200697_at
7.0054,7.0054,7.0383,200698_at
7.8434,7.8434,8.2657,200752_s_at
6.8819,6.8819,6.9146,200757_s_at
6.6311,6.6311,5.1842,200766_at
12.695,12.695,13.4513,200783_s_at
8.8905,8.8905,9.5862,200789_at
10.347,10.347,11.1202,200791_s_at
9.4574,9.4574,9.066,200816_s_at
7.791,7.791,8.1704,200825_s_at
9.5021,9.5021,10.4436,200843_s_at
9.2685,9.2685,9.1952,200887_s_at
8.306,8.306,8.9377,200895_s_at
11.6341,11.6341,11.0285,200915_x_at
9.2754,9.2754,9.5145,200929_at
10.1121,10.1121,9.567,200972_at
14.9003,14.9003,14.8671,200981_x_at
8.5172,8.5172,9.0341,201000_at
7.6556,7.6556,7.593,201011_at
9.8187,9.8187,10.8172,201014_s_at
10.9578,10.9578,9.9912,201032_at
11.0269,11.0269,11.664,201036_s_at
8.5837,8.5837,8.5016,201040_at
10.2891,10.2891,10.6518,201074_at
9.8125,9.8125,9.2851,201078_at
7.5242,7.5242,7.0711,201080_at
6.8493,6.8493,6.8172,201087_at
6.7271,6.7271,7.2484,201098_at
9.0402,9.0402,9.6047,201121_s_at
4.6558,4.6558,4.7113,201125_s_at
9.1965,9.1965,10.5564,201136_at
10.4304,10.4304,8.2045,201146_at
6.6531,6.6531,6.5444,201158_at
7.5135,7.5135,8.3436,201170_s_at
10.8463,10.8463,10.944,201174_s_at
11.9927,11.9927,11.8291,201178_at
5.8497,5.8497,6.1096,201185_at
9.3848,9.3848,9.9641,201186_at
9.6152,9.6152,10.5374,201200_at
6.1885,6.1885,4.1127,201212_at
7.6604,7.6604,7.9964,201234_at
6.4062,6.4062,8.2675,201243_s_at
10.6746,10.6746,9.4899,201260_s_at
9.6454,9.6454,10.1874,201266_at
7.752,7.752,7.8005,201270_x_at
9.5379,9.5379,10.5023,201292_at
8.855,8.855,8.149,201314_at
8.2892,8.2892,9.3767,201323_at
9.7123,9.7123,10.9012,201339_s_at
10.5172,10.5172,10.7827,201351_s_at
8.7699,8.7699,9.5466,201361_at
9.4364,9.4364,9.333,201379_s_at
7.1218,7.1218,6.42,201380_at
8.7906,8.7906,8.9264,201391_at
8.1722,8.1722,8.5723,201393_s_at
9.997,9.997,10.9796,201397_at
9.5333,9.5333,9.7492,201412_at
14.0178,14.0178,13.5666,201416_at
12.826,12.826,12.7705,201432_at
8.447,8.447,7.7032,201462_at
9.3005,9.3005,8.0923,201466_s_at
7.8458,7.8458,8.2453,201494_at
12.5191,12.5191,12.0029,201498_at
8.7694,8.7694,8.9593,201503_at
10.495,10.495,9.9318,201519_at
9.7201,9.7201,11.1002,201528_at
9.7115,9.7115,10.3081,201531_at
8.035,8.035,6.8175,201548_s_at
8.6663,8.6663,9.6905,201555_at
11.051,11.051,10.8551,201560_at
10.0097,10.0097,10.2413,201561_s_at
9.3825,9.3825,10.5324,201565_s_at
8.6139,8.6139,8.5213,201572_x_at
5.1988,5.1988,4.616,201579_at
10.4557,10.4557,10.7445,201589_at
10.9749,10.9749,10.641,201591_s_at
10.5462,10.5462,10.4329,201608_s_at
6.8537,6.8537,7.2615,201611_s_at
6.7668,6.7668,7.6047,201614_s_at
8.9811,8.9811,9.4016,201620_at
8.6588,8.6588,8.2971,201626_at
8.6297,8.6297,9.0921,201628_s_at
6.9969,6.9969,6.1267,201631_s_at
9.8412,9.8412,9.5184,201649_at
12.2086,12.2086,12.1781,201664_at
8.3258,8.3258,8.2523,201671_x_at
7.11,7.11,8.0082,201695_s_at
10.8419,10.8419,11.6469,201697_s_at
9.0946,9.0946,8.8678,201709_s_at
11.1624,11.1624,11.8576,201710_at
9.571,9.571,8.536,201719_s_at
7.862,7.862,8.0971,201727_s_at
7.4785,7.4785,7.3141,201729_s_at
8.7588,8.7588,9.9814,201756_at
8.5646,8.5646,10.297,201761_at
8.3441,8.3441,9.3979,201767_s_at
9.2011,9.2011,9.4944,201774_s_at
9.0304,9.0304,8.9128,201778_s_at
10.9424,10.9424,9.6888,201788_at
13.4513,13.4513,12.688,201795_at
6.629,6.629,8.0354,201811_x_at
7.8717,7.8717,6.3314,201817_at
8.5796,8.5796,7.7094,201819_at
9.1261,9.1261,9.0155,201825_s_at
10.0853,10.0853,9.3803,201827_at
9.1567,9.1567,9.2858,201829_at
9.2193,9.2193,9.0112,201833_at
10.1038,10.1038,9.1326,201847_at
5.0857,5.0857,5.3898,201849_at
6.9018,6.9018,6.5982,201855_s_at
8.4069,8.4069,9.2485,201870_at
6.5949,6.5949,8.5549,201875_s_at
4.7713,4.7713,5.6849,201887_at
7.7899,7.7899,7.5631,201896_s_at
10.1651,10.1651,10.1556,201899_s_at
9.4282,9.4282,9.7235,201913_s_at
8.5477,8.5477,7.6529,201932_at
8.8036,8.8036,8.8783,201967_at
8.3968,8.3968,9.4075,201968_s_at
7.0774,7.0774,5.7994,201976_s_at
7.8628,7.8628,8.5796,201980_s_at
4.9094,4.9094,4.3376,201984_s_at
8.9473,8.9473,8.5344,201985_at
6.0245,6.0245,5.7524,201995_at
10.641,10.641,9.7304,201997_s_at
9.3118,9.3118,8.8138,202006_at
7.395,7.395,7.9056,202009_at
5.8814,5.8814,5.4956,202011_at
9.2942,9.2942,10.0195,202016_at
6.1168,6.1168,6.926,202022_at
11.9278,11.9278,11.1848,202040_s_at
6.4227,6.4227,5.745,202052_s_at
4.9286,4.9286,5.6491,202087_s_at
8.6391,8.6391,8.9624,202093_s_at
11.2372,11.2372,11.95,202095_s_at
7.4543,7.4543,6.7014,202109_at
9.7355,9.7355,9.9449,202117_at
9.6136,9.6136,8.5298,202119_s_at
9.1274,9.1274,9.5262,202123_s_at
7.3623,7.3623,7.7855,202125_s_at
6.7615,6.7615,7.3036,202148_s_at
10.5564,10.5564,9.5552,202153_s_at
11.2496,11.2496,10.0107,202174_s_at
9.2072,9.2072,9.3266,202179_at
6.4988,6.4988,6.0158,202180_s_at
8.4986,8.4986,8.71,202184_s_at
7.6032,7.6032,7.8261,202185_at
8.2141,8.2141,8.3623,202187_s_at
8.8976,8.8976,9.2274,202188_at
9.4312,9.4312,8.7144,202220_at
10.4729,10.4729,10.861,202230_s_at
8.0548,8.0548,9.7983,202241_at
5.4422,5.4422,5.945,202260_s_at
6.8844,6.8844,7.5968,202261_at
11.4793,11.4793,11.9575,202282_at
9.9185,9.9185,10.8713,202284_s_at
9.6438,9.6438,8.8835,202318_s_at
9.3414,9.3414,9.7701,202324_s_at
8.9336,8.9336,9.2658,202329_at
7.3758,7.3758,8.4205,202349_at
8.5436,8.5436,7.8241,202371_at
5.7918,5.7918,5.4313,202382_s_at
12.6258,12.6258,14.685,202388_at
6.7315,6.7315,7.306,202394_s_at
9.1074,9.1074,8.986,202396_at
12.9216,12.9216,13.7565,202413_s_at
6.2326,6.2326,6.6063,202417_at
10.7884,10.7884,10.2936,202423_at
11.0591,11.0591,11.7013,202427_s_at
7.8001,7.8001,7.4166,202431_s_at
8.6743,8.6743,9.6397,202433_at
9.6388,9.6388,8.2118,202446_s_at
9.3803,9.3803,9.7974,202447_at
4.3171,4.3171,4.54,202458_at
12.3962,12.3962,11.1068,202466_at
10.5693,10.5693,10.0762,202468_s_at
7.8317,7.8317,8.1353,202491_s_at
6.9814,6.9814,7.225,202494_at
8.0483,8.0483,6.9214,202500_at
10.0136,10.0136,10.8758,202518_at
6.1959,6.1959,6.9814,202528_at
5.8155,5.8155,6.0576,202540_s_at
6.7515,6.7515,6.4952,202545_at
8.3623,8.3623,8.425,202550_s_at
