,Var1,Freq
2,0610009L18Rik,2
3,0610010K14Rik,1
4,0610025J13Rik,2
5,0610030E20Rik,1
6,0610031O16Rik,1
8,0610040J01Rik,2
9,0610042G04Rik,1
10,0610043K17Rik,1
11,1110002E22Rik,1
13,1110002O04Rik,1
15,1110006O24Rik,1
16,1110017D15Rik,2
17,1110018N20Rik,2
19,1110032F04Rik,1
20,1110036E04Rik,1
21,1110038B12Rik,1
22,1110046J04Rik,1
25,1190005I06Rik,1
27,1500004A13Rik,1
31,1500035N22Rik,1
33,1600015H23Rik,1
34,1600020E01Rik,1
36,1700001C19Rik,1
37,1700001F09Rik,2
38,1700001G01Rik,1
39,1700001G17Rik,1
40,1700001J03Rik,2
41,1700001J04Rik,1
42,1700001K23Rik,1
44,1700001O22Rik,1
45,1700001P01Rik,1
46,1700003E16Rik,1
47,1700003F12Rik,1
48,1700003H04Rik,1
49,1700003M07Rik,1
50,1700006H20Rik,1
51,1700007F19Rik,1
53,1700007P06Rik,1
54,1700008C04Rik,1
55,1700008J07Rik,1
56,1700008K24Rik,1
57,1700009C05Rik,1
58,1700009J07Rik,1
59,1700010B08Rik,1
60,1700010I14Rik,1
61,1700010L04Rik,2
62,1700012A03Rik,1
63,1700012C14Rik,1
64,1700012D01Rik,1
65,1700012D16Rik,1
66,1700013N06Rik,1
68,1700016B01Rik,1
69,1700016K05Rik,1
71,1700017J07Rik,1
72,1700018A23Rik,1
73,1700018B08Rik,1
74,1700018F24Rik,1
77,1700020G17Rik,1
78,1700020L24Rik,2
79,1700020N01Rik,1
80,1700020N18Rik,1
81,1700021F02Rik,1
82,1700021F07Rik,1
83,1700021N21Rik,1
84,1700022A21Rik,1
85,1700022A22Rik,2
87,1700023C21Rik,1
88,1700024J04Rik,1
89,1700025G04Rik,2
90,1700025J12Rik,1
91,1700025K04Rik,1
92,1700025N21Rik,1
93,1700025N23Rik,1
95,1700028I16Rik,1
96,1700028P15Rik,1
98,1700029M03Rik,1
100,1700030C14Rik,1
102,1700034B16Rik,1
103,1700034G24Rik,1
104,1700034J05Rik,1
105,1700036A12Rik,1
106,1700037C18Rik,1
107,1700040P09Rik,1
108,1700041B01Rik,1
111,1700044C05Rik,1
112,1700048M11Rik,2
113,1700048O20Rik,2
114,1700049E17Rik2,1
115,1700049E22Rik,1
116,1700051K13Rik,1
117,1700052I22Rik,1
122,1700055K11Rik,1
124,1700060C20Rik,1
125,1700060J05Rik,1
126,1700063D05Rik,1
127,1700064F23Rik,1
128,1700064J06Rik,1
129,1700064M15Rik,1
130,1700065D16Rik,1
131,1700066B17Rik,1
132,1700066C05Rik,1
133,1700066J03Rik,2
134,1700066M21Rik,1
135,1700067G17Rik,1
136,1700069L16Rik,1
137,1700071G01Rik,1
138,1700071M16Rik,1
139,1700072F12Rik,1
140,1700073E17Rik,3
141,1700074H08Rik,1
145,1700086D15Rik,1
146,1700086L19Rik,1
150,1700091J24Rik,1
151,1700092K14Rik,1
153,1700094J05Rik,1
154,1700095A21Rik,1
155,1700095J07Rik,1
156,1700095J12Rik,1
157,1700096J18Rik,2
158,1700096K18Rik,1
159,1700101I11Rik,2
161,1700108I11Rik,1
162,1700110C19Rik,1
163,1700110I01Rik,1
164,1700110K17Rik,1
168,1700121C08Rik,1
169,1700121C10Rik,1
170,1700121L16Rik,1
172,1700123J17Rik,2
174,1700125G02Rik,1
175,1700126G02Rik,1
176,1700128F08Rik,1
177,1810007D17Rik,1
178,1810008I18Rik,1
179,1810009A15Rik,1
180,1810010H24Rik,1
183,1810019N24Rik,1
185,1810021M19Rik,1
187,1810034E14Rik,1
190,1810044D09Rik,1
191,1810049I09Rik,1
194,1810073O08Rik,1
195,2010001A14Rik,1
196,2010009K17Rik,1
197,2010010A06Rik,1
198,2010109A12Rik,1
199,2010203P06Rik,1
200,2010204K13Rik,1
201,2010310C07Rik,1
204,2010320O07Rik,1
205,2200002D01Rik,1
209,2210409D07Rik,1
210,2210418O10Rik,1
211,2300002M23Rik,1
213,2310005A03Rik,1
215,2310011J03Rik,2
217,2310015D24Rik,1
218,2310016D03Rik,1
219,2310016G11Rik,1
220,2310022B05Rik,1
221,2310030G06Rik,1
222,2310033P09Rik,1
223,2310034C09Rik,1
226,2310040G24Rik,1
227,2310043L19Rik,1
230,2310065F04Rik,1
232,2310075C17Rik,1
235,2410004B18Rik,1
236,2410004P03Rik,1
237,2410006H16Rik,1
238,2410017I17Rik,1
239,2410018L13Rik,1
240,2410080I02Rik,1
241,2410137M14Rik,1
242,2500004C02Rik,1
244,2510003B16Rik,1
245,2510009E07Rik,1
246,2510039O18Rik,2
249,2610016A17Rik,1
250,2610017A05Rik,1
252,2610024D14Rik,1
253,2610027F03Rik,1
254,2610028H24Rik,1
257,2610042L04Rik,1
258,2610044O15Rik8,1
259,2610203C22Rik,1
