,ENTREZID,SYMBOL
1,100,ADA
2,1000,CDH2
3,100033413,SNORD116-1
4,100038246,TLX1NB
5,10006,ABI1
6,10007,GNPDA1
7,100101490,MCTS2
8,100101938,ANKRD26P3
9,100113382,SNORD105B
10,100113403,LIN28B-AS1
11,100126299,VTRNA2-1
12,100126325,MIR935
13,100126341,MIR891A
14,100126348,MIR760
15,100128071,FAM229A
16,100128098,ST8SIA6-AS1
17,100128164,FHL1P1
18,100128252,ZNF667-AS1
20,100128398,ZNF606-AS1
21,100128554,LINC02347
22,100128731,OST4
23,100128788,SRRM2-AS1
24,100128927,ZBTB42
25,100129075,KTN1-AS1
26,100129515,ETDB
27,100129583,FAM47E
28,100129620,PLPPR5-AS1
29,100129716,ARRDC3-AS1
30,100129961,CCNT2-AS1
31,100129973,CERNA1
32,100130197,EFCAB14-AS1
33,100130275,TFAP2A-AS1
34,100130311,C17orf107
35,100130691,LOC100130691
36,100130717,HDHD5-AS1
37,100130855,USP3-AS1
39,100130934,ZNF663P
40,100130950,ZNF594-DT
41,100130958,SYCE1L
42,100131060,JUN-DT
43,100131067,CKMT2-AS1
44,100131117,ZBTB20-AS1
45,100131390,SP9
46,100131454,DBIL5P
47,100131655,ZNF236-DT
48,100131691,MZF1-AS1
49,100131814,AHI1-DT
50,100132273,NDUFA6-DT
51,100132526,FGD5P1
52,100132677,BSN-DT
53,100132891,MSC-AS1
54,100133612,LINC01134
55,100133941,CD24
56,100133957,UXT-AS1
57,100134229,KDM7A-DT
58,100134368,LOC100134368
59,100134713,NDUFB2-AS1
60,100144595,GALNT13-AS1
61,100144597,LINC01056
62,100144603,CHKB-DT
63,100144748,KLLN
64,10016,PDCD6
65,100169752,TEX36-AS1
66,100190939,TPT1-AS1
67,100190949,C5orf52
68,100192386,FLJ16779
69,1002,CDH4
70,100216001,MANCR
71,100216545,KMT2E-AS1
72,100271702,LINC00940
73,100271832,LOC100271832
74,100271927,RASA4B
75,100272217,LOC100272217
76,100272228,EOLA2-DT
77,100287015,MCPH1-DT
78,100287029,DDX11L10
79,100287042,MIF4GD-DT
80,100287102,DDX11L1
81,100287114,LINC00421
84,100287482,SMKR1
85,100287596,DDX11L5
86,100287765,LINC00630
87,100287902,LGALS8-AS1
88,100287932,TIMM23
89,100287944,LOC100287944
90,100288069,LOC100288069
91,100288486,DDX11L9
92,100288842,B3GALT9
93,100288846,MIA2-AS1
94,100289092,ATP2A1-AS1
95,100289230,LOC100289230
96,100289341,MAN1B1-DT
97,100289373,UBAC2-AS1
98,100289388,KCTD21-AS1
99,100289495,LOC100289495
100,100292680,LINC00942
101,100294362,RNF213-AS1
102,100302119,MIR1538
103,100302121,MIR1276
104,100302138,MIR1292
105,100302153,MIR1298
106,100302213,MIR1181
107,100302224,MIR2110
108,100302229,MIR1250
109,100302257,MIR1539
110,100302640,LINC00882
111,100302650,BABAM2-AS1
112,100302691,LINC00184
113,100303453,TSNAX-DISC1
114,100303728,SLC25A5-AS1
115,100306951,PITPNA-AS1
116,100316868,HOTTIP
117,100316904,SAP25
118,10036,CHAF1A
119,10039,PARP3
120,100422842,MIR3074
121,100422879,MIR3124
122,100422900,MIR3158-1
123,100422952,MIR4271
124,100422974,MIR3178
125,100422983,MIR4314
126,100422984,MIR4308
127,100422995,MIR3175
128,100423019,MIR4307
129,100423042,MIR4276
130,10048,RANBP9
131,10049,DNAJB6
132,100499177,THAP9-AS1
133,100499227,USP2-AS1
135,100500901,MIR3928
136,100500914,MIR3610
137,100505624,GTF3C2-AS1
138,100505648,RAD51-AS1
139,100505679,UBE2Q2P16
140,100505681,NAPA-AS1
141,100505738,MIR4458HG
142,100505782,LOC100505782
143,100505783,OSER1-DT
144,100505806,SNHG18
145,100505854,APTR
146,100506012,PPP5D1P
147,100506033,PTOV1-AS1
148,100506049,LRRC72
149,100506054,RNASEH1-DT
150,100506083,DDX19A-DT
151,100506207,LOC100506207
152,100506211,MIR210HG
153,100506215,PAXBP1-AS1
154,100506311,HOTAIRM1
155,100506394,GAS6-DT
