"","seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","NC_000067.7",24652561,24653046,486,"*","CBD2vsMODEL2_cond1_1",16.4087,"Distal Intergenic",1,24296764,24627870,331107,2,"Col19a1","XM_006495645.5",-24691
"2","NC_000067.7",24654840,24655224,385,"*","CBD2vsMODEL2_cond1_2",30.1961,"Distal Intergenic",1,24296764,24627870,331107,2,"Col19a1","XM_006495645.5",-26970
"3","NC_000067.7",38168738,38169152,415,"*","CBD2vsMODEL2_cond1_3",9.09572,"Promoter (<=1kb)",1,38091867,38168747,76881,2,"Rev1","NM_001359287.1",0
"4","NC_000067.7",38666342,38666657,316,"*","CBD2vsMODEL2_cond1_4",6.15141,"Promoter (2-3kb)",1,38216397,38669258,452862,2,"Aff3","XM_006495737.5",2601
"5","NC_000067.7",43733995,43734367,373,"*","CBD2vsMODEL2_cond1_5",7.3719,"Exon (XR_865403.1/Gm38628, exon 2 of 2)",1,43719586,43735140,15555,1,"Gm38628","XR_865403.1",14409
"6","NC_000067.7",52539309,52539572,264,"*","CBD2vsMODEL2_cond1_6",10.1531,"Promoter (<=1kb)",1,52495008,52539607,44600,2,"Nab1","NM_008667.3",35
"7","NC_000067.7",87774720,87775018,299,"*","CBD2vsMODEL2_cond1_7",5.85273,"Distal Intergenic",1,87780942,87870098,89157,1,"Dgkd","XM_006529471.4",-5924
"8","NC_000067.7",135662191,135662521,331,"*","CBD2vsMODEL2_cond1_8",4.7814,"Intron (XM_036157918.1/Csrp1, intron 1 of 5)",1,135656905,135679967,23063,1,"Csrp1","NR_153810.1",5286
"9","NC_000067.7",164285662,164285939,278,"*","CBD2vsMODEL2_cond1_9",4.34931,"Promoter (<=1kb)",1,164264668,164285924,21257,2,"Atp1b1","NM_009721.6",0
"10","NC_000067.7",191821846,191822203,358,"*","CBD2vsMODEL2_cond1_10",4.21877,"Promoter (<=1kb)",1,191782842,191821895,39054,2,"Rcor3","NM_001403274.1",0
