seqnames,start,end,width,strand,V4,V5,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,state
NC_000067.7,12727657,12727920,264,*,CBD2vsMODEL2_cond2_1,6.92265,Distal Intergenic,1,12737787,12743314,5528,1,Gm17644,NR_045297.1,-9867,down
NC_000067.7,23595258,23595597,340,*,CBD2vsMODEL2_cond2_2,10.9917,Distal Intergenic,1,23613668,23635745,22078,1,Gm28822,NR_151529.1,-18071,down
NC_000067.7,44591095,44591495,401,*,CBD2vsMODEL2_cond2_3,12.1546,Promoter (<=1kb),1,44591059,44835998,244940,1,Gulp1,XM_011238599.3,36,down
NC_000067.7,55091970,55092267,298,*,CBD2vsMODEL2_cond2_4,4.65785,Promoter (<=1kb),1,55091929,55111861,19933,1,Coq10b,NM_026424.3,41,down
NC_000067.7,59276508,59276856,349,*,CBD2vsMODEL2_cond2_5,4.34674,Promoter (<=1kb),1,59276514,59278181,1668,1,Gm33667,NR_168353.1,0,down
NC_000067.7,59440004,59440467,464,*,CBD2vsMODEL2_cond2_6,6.41717,"Intron (XR_865453.1/Gm33724, intron 2 of 2)",1,59432405,59458086,25682,2,Gm33724,XR_865453.1,17619,down
NC_000067.7,74123760,74124072,313,*,CBD2vsMODEL2_cond2_7,4.92051,"Intron (NM_001413787.1/Tns1, intron 1 of 32)",1,73949391,74130468,181078,2,Tns1,NM_001413787.1,6396,down
NC_000067.7,75101331,75101651,321,*,CBD2vsMODEL2_cond2_8,4.18527,Promoter (<=1kb),1,75006505,75101870,95366,2,Nhej1,NM_029342.4,219,down
NC_000067.7,75293843,75294384,542,*,CBD2vsMODEL2_cond2_9,6.58842,Promoter (<=1kb),1,75285209,75293980,8772,2,Dnpep,XM_006496406.1,0,down
NC_000067.7,85087365,85087699,335,*,CBD2vsMODEL2_cond2_10,5.82082,Promoter (<=1kb),1,85065860,85087574,21715,2,A530032D15Rik,NM_213615.2,0,down
NC_000067.7,85247957,85248223,267,*,CBD2vsMODEL2_cond2_11,4.31273,Promoter (<=1kb),1,85224065,85248287,24223,2,C130026I21Rik,NM_001037909.3,64,down
NC_000067.7,86196538,86197155,618,*,CBD2vsMODEL2_cond2_12,7.42876,3' UTR,1,86173939,86184507,10569,2,Gm46098,XR_001779053.2,-12031,down
